Date,Name,Year,Letterboxd URI
2022-12-31,Bodies Bodies Bodies,2022,https://boxd.it/iRcE
2023-01-01,Good Will Hunting,1997,https://boxd.it/2ahY
2023-01-02,It,2017,https://boxd.it/bC8e
2023-01-02,Nightcrawler,2014,https://boxd.it/780m
2023-01-03,Smile,2022,https://boxd.it/xjfE
2023-01-03,The Banshees of Inisherin,2022,https://boxd.it/p7XS
2023-01-03,Being John Malkovich,1999,https://boxd.it/2ahu
2023-01-04,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2023-01-05,The Wind Rises,2013,https://boxd.it/4JQS
2023-01-05,A Trip to the Moon,1902,https://boxd.it/29EC
2023-01-06,Castello Cavalcanti,2013,https://boxd.it/6WlM
2023-01-06,Come Together,2016,https://boxd.it/wVA4
2023-01-06,Cousin Ben Troop Screening,2012,https://boxd.it/49SS
2023-01-06,Do You Like to Read?,2012,https://boxd.it/jMMY
2023-01-06,Bottle Rocket,1993,https://boxd.it/pP8
2023-01-07,"Help Me, My Love",1969,https://boxd.it/bsa
2023-01-10,Taxi Driver,1976,https://boxd.it/2b8y
2023-01-14,Selena,1997,https://boxd.it/1KVS
2023-01-21,English Vinglish,2012,https://boxd.it/3Weq
2023-01-21,XOXO,2016,https://boxd.it/bRxo
2023-01-21,The Outsiders,1983,https://boxd.it/2aPw
2023-02-03,Moonrise Kingdom,2012,https://boxd.it/2Wng
2023-02-07,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie
2023-02-17,Weathering with You,2019,https://boxd.it/kPxE
2023-04-07,Pather Panchali,1955,https://boxd.it/22yC
2023-04-07,Shadowlands,1993,https://boxd.it/1Wfk
2023-04-14,Suzume,2022,https://boxd.it/yv7Y
2023-05-03,Chungking Express,1994,https://boxd.it/1UDa
2023-05-19,La Collectionneuse,1967,https://boxd.it/23Ls
2023-06-14,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2023-06-22,Before Sunrise,1995,https://boxd.it/2bcU
2023-06-26,Malena,2000,https://boxd.it/1Vc0
2023-06-28,A Streetcar Named Desire,1951,https://boxd.it/29Mc
2023-06-28,John Wick,2014,https://boxd.it/7dEc
2023-07-01,Asteroid City,2023,https://boxd.it/s3ds
2023-07-03,Kizumonogatari Part 3: Reiketsu,2017,https://boxd.it/cq8y
2023-07-03,The Matrix,1999,https://boxd.it/2a1m
2023-07-09,The Prestige,2006,https://boxd.it/293w
2023-07-10,The Pianist,2002,https://boxd.it/2aqc
2023-07-12,Aparajito,1956,https://boxd.it/29kW
2023-07-18,Apur Sansar,1959,https://boxd.it/29l6
2023-07-25,Good Time,2017,https://boxd.it/fcFu
2023-07-25,Oppenheimer,2023,https://boxd.it/wUow
2023-07-26,Grave of the Fireflies,1988,https://boxd.it/1RUM
2023-07-27,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA
2023-07-29,12 Angry Men,1957,https://boxd.it/2auI
2023-08-21,Oldboy,2003,https://boxd.it/29R2
2023-08-23,A Man Called Otto,2022,https://boxd.it/zl06
2023-08-25,The Disappearance of Haruhi Suzumiya,2010,https://boxd.it/19Ds
2023-08-25,A Silent Voice: The Movie,2016,https://boxd.it/d99c
2023-08-27,Happy Gilmore,1996,https://boxd.it/1Yey
2023-08-31,The Menu,2022,https://boxd.it/lScm
2023-09-25,When Harry Met Sally...,1989,https://boxd.it/29W2
2023-09-25,Misery,1990,https://boxd.it/28gY
2023-09-28,Mysterious Skin,2004,https://boxd.it/1UsG
2023-09-30,The Swan,2023,https://boxd.it/Is80
2023-09-30,The Rat Catcher,2023,https://boxd.it/Is8a
2023-09-30,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo
2023-09-30,Isle of Dogs,2018,https://boxd.it/dZrW
2023-09-30,Yuki's Sun,1972,https://boxd.it/d1ws
2023-10-01,Poison,2023,https://boxd.it/Is7Q
2023-10-02,Over the Garden Wall,2014,https://boxd.it/eqFw
2023-10-03,On the Waterfront,1954,https://boxd.it/29TC
2023-10-09,Watching the Detectives,2007,https://boxd.it/1B3i
2023-10-15,Enter the Dragon,1973,https://boxd.it/1YCA
2023-10-16,The Interview,2014,https://boxd.it/6KQ4
