Date,Name,Year,Letterboxd URI,Rating
2024-01-11,Dancer in the Dark,2000,https://boxd.it/71E,3.5
2024-01-12,The Holdovers,2023,https://boxd.it/vHza,5
2024-01-18,Breathless,1960,https://boxd.it/2aIK,4.5
2024-01-24,Past Lives,2023,https://boxd.it/oNB8,3.5
2024-01-27,Singles,1992,https://boxd.it/1UIu,2.5
2024-02-16,Digimon: The Movie,2000,https://boxd.it/1DrQ,5
2024-02-29,Dune,2021,https://boxd.it/fA7G,4.5
2024-03-01,Dune: Part Two,2024,https://boxd.it/pUfA,5
2024-03-03,Amiko,2022,https://boxd.it/vfZ0,4
2024-03-09,Trainspotting,1996,https://boxd.it/29XY,5
2024-03-15,The Zone of Interest,2023,https://boxd.it/gJsA,4
2024-04-07,Monkey Man,2024,https://boxd.it/kvsO,3.5
2024-05-22,Do the Right Thing,1989,https://boxd.it/29gA,5
2024-05-26,Interview,1971,https://boxd.it/8NRS,5
2024-06-07,Ronnie O'Sullivan: The Edge of Everything,2023,https://boxd.it/JtVu,4
2024-06-10,Mirrored Mind,2005,https://boxd.it/2MxK,4.5
2024-06-20,The Big Short,2015,https://boxd.it/ajZw,3
2024-06-20,Baraka,1992,https://boxd.it/1OWA,5
2024-07-18,Little Miss Sunshine,2006,https://boxd.it/29EW,3
2024-07-22,Rush Hour,1998,https://boxd.it/27pU,4.5
2024-07-23,Monster,2023,https://boxd.it/DJEM,3
2024-07-30,Forrest Gump,1994,https://boxd.it/728,5
2024-08-01,Katatsumori,1994,https://boxd.it/53RG,5
2024-08-04,Free Solo,2018,https://boxd.it/iEEq,5
2024-08-09,Ponyo,2008,https://boxd.it/1S0A,5
2024-08-11,The Way of the Dragon,1972,https://boxd.it/1YCq,4.5
2024-08-25,Office Space,1999,https://boxd.it/28Em,5
2024-09-15,Juno,2007,https://boxd.it/210a,3
2024-10-08,Look Back,2024,https://boxd.it/LjA6,4
2024-11-18,Blue Spring,2001,https://boxd.it/1fIo,4
2024-12-23,127 Hours,2010,https://boxd.it/SLa,2.5
2025-01-02,Happy People: A Year in the Taiga,2010,https://boxd.it/3adu,4
2025-01-12,Wallace & Gromit: Vengeance Most Fowl,2024,https://boxd.it/z14C,4
2025-02-05,Challengers,2024,https://boxd.it/zld0,5
2025-02-26,The Monkey,2025,https://boxd.it/Gwiu,3.5
2025-03-12,Mickey 17,2025,https://boxd.it/q1Dk,2.5
2025-03-12,Anora,2024,https://boxd.it/Egcw,4
2025-03-21,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq,5
2025-03-21,Chronicle,2012,https://boxd.it/2Emk,5
2025-03-21,Wedding Crashers,2005,https://boxd.it/1Yte,3.5
2025-04-03,BlackBerry,2023,https://boxd.it/CoVK,4
2025-04-10,Hoop Dreams,1994,https://boxd.it/1Opc,5
2025-04-14,Another Round,2020,https://boxd.it/lkba,4.5
2025-04-16,Moonlight,2016,https://boxd.it/d6bE,5
2025-04-20,The Departed,2006,https://boxd.it/28MA,4
2025-04-20,Taxi Driver,1976,https://boxd.it/2b8y,4.5
2025-04-22,Sinners,2025,https://boxd.it/KQMM,5
2025-05-02,Made in Hong Kong,1997,https://boxd.it/1uFk,5
2025-05-05,Heat,1995,https://boxd.it/2bg8,5
2025-05-07,The Prince of Egypt,1998,https://boxd.it/1XGQ,5
2025-05-11,Malcolm X,1992,https://boxd.it/27WE,5
2025-05-30,Friendship,2024,https://boxd.it/L6Dc,1
2025-06-06,City of God,2002,https://boxd.it/2a2a,5
2025-06-07,The Day He Arrives,2011,https://boxd.it/31L8,5
2025-06-08,On the Occasion of Remembering the Turning Gate,2002,https://boxd.it/wYm,4.5
2025-06-09,Tale of Cinema,2005,https://boxd.it/31H6,5
2025-06-19,Materialists,2025,https://boxd.it/GZlW,1
2025-06-21,After Hours,1985,https://boxd.it/1VfS,5
2025-06-23,Ghost Dog: The Way of the Samurai,1999,https://boxd.it/23Ne,5
2025-06-23,Mulan II,2004,https://boxd.it/1ScG,5
2025-06-26,The Social Network,2010,https://boxd.it/17ue,5
2025-06-28,Dog Day Afternoon,1975,https://boxd.it/29bg,5
2025-07-06,Ford v Ferrari,2019,https://boxd.it/ce74,4.5
2025-07-13,Superman,2025,https://boxd.it/E9IU,4.5
2025-07-14,Taste of Cherry,1997,https://boxd.it/1m8W,5
2025-07-14,The Place Which Isn’t Necessarily Wrong,1996,https://boxd.it/xrK6,5
2025-07-14,Babylon,2022,https://boxd.it/mM02,4.5
2025-07-19,Bleeder,1999,https://boxd.it/1HKs,3.5
2025-07-19,Hairspray,2007,https://boxd.it/261M,5
2025-07-20,Now You See Me,2013,https://boxd.it/2Bsu,3.5
2025-07-23,After the Wedding,2006,https://boxd.it/25eg,4.5
2025-07-25,All That Jazz,1979,https://boxd.it/1JB8,5
2025-07-25,Miles Davis: Birth of the Cool,2019,https://boxd.it/kLfm,5
2025-07-26,In the Heights,2021,https://boxd.it/gLhu,2
2025-07-30,The Notebook,2004,https://boxd.it/1UNE,5
2025-08-25,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,3
2025-09-13,Yi Yi,2000,https://boxd.it/1vCw,5
2025-09-20,Your Name.,2016,https://boxd.it/cUqs,5
2025-09-28,Mirch Masala,1987,https://boxd.it/6R0E,5
2025-09-29,Linda Linda Linda,2005,https://boxd.it/1s1C,5
2025-09-30,"Goodbye, Dragon Inn",2003,https://boxd.it/oFG,5
2025-09-30,Woman Is the Future of Man,2004,https://boxd.it/1K4O,4
2025-09-30,All the President's Men,1976,https://boxd.it/29lU,5
2025-10-02,Love Exposure,2008,https://boxd.it/1pDe,5
2025-10-03,Phantom Thread,2017,https://boxd.it/e4uc,5
2025-10-10,Punch-Drunk Love,2002,https://boxd.it/20E4,5
2025-10-11,The Wedding Banquet,1993,https://boxd.it/1Z82,4.5
2025-10-11,Millennium Mambo,2001,https://boxd.it/1Tzw,5
2025-10-11,3-Iron,2004,https://boxd.it/28WK,5
2025-10-13,Elevator to the Gallows,1958,https://boxd.it/294u,5
2025-10-13,A Snake of June,2002,https://boxd.it/1fuQ,5
2025-10-13,Donkey Skin,1970,https://boxd.it/22V2,5
2025-10-14,Crash,1996,https://boxd.it/29n2,4.5
2025-10-14,Dead Ringers,1988,https://boxd.it/1Yqk,5
2025-10-15,Between Calmness and Passion,2001,https://boxd.it/1fGs,4
2025-10-17,Amadeus,1984,https://boxd.it/2aH8,5
